purchase_group;n_attempts;success;total_cost;profit;expected_bv;first_psp;second_psp
252_Switzerland_Diners_20190110_020848;2;True;1,5;8,5;-6,4200713836593355;Simplecard;Simplecard
148_Germany_Master_20190213_114551;1;False;1,0;-1,0;-3,4223458929666952;UK_Card;
215_Germany_Diners_20190115_182825;1;True;1,0;9,0;-3,13650736443628;Simplecard;
185_Switzerland_Diners_20190215_103448;1;False;0,5;-0,5;-2,185496949432821;Simplecard;
136_Germany_Diners_20190126_183124;2;True;7,0;3,0;-3,8037736378617772;Moneycard;Moneycard
151_Germany_Master_20190118_023545;2;True;4,0;6,0;-6,472761470993837;UK_Card;UK_Card
195_Austria_Master_20190101_202626;4;False;4,0;-4,0;-11,896581637983807;UK_Card;UK_Card
221_Switzerland_Master_20190213_071636;2;False;1,0;-1,0;-9,828568832774529;Simplecard;Simplecard
397_Germany_Master_20190212_235140;1;True;3,0;7,0;-2,7093067442459837;UK_Card;
287_Germany_Master_20190204_032916;2;False;4,0;-4,0;-9,94375426076762;Moneycard;Moneycard
112_Germany_Visa_20190108_011203;1;True;3,0;7,0;-3,369372942721088;UK_Card;
296_Switzerland_Diners_20190116_154733;3;False;1,5;-1,5;-9,40952209330884;Simplecard;Simplecard
298_Germany_Visa_20190104_125849;3;True;2,0;8,0;-11,579782798999899;Simplecard;Simplecard
311_Switzerland_Master_20190208_065129;3;False;1,5;-1,5;-14,742853249161794;Simplecard;Simplecard
303_Germany_Visa_20190122_034025;1;False;0,5;-0,5;-4,523444582279341;Simplecard;
103_Germany_Master_20190202_002927;1;False;1,0;-1,0;-3,325498850711403;UK_Card;
207_Switzerland_Master_20190115_092026;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
265_Germany_Diners_20190130_031124;2;True;1,5;8,5;-6,4200713836593355;Simplecard;Simplecard
99_Germany_Master_20190106_141644;2;True;7,0;3,0;-2,856496529428042;Moneycard;Moneycard
202_Austria_Master_20190220_095157;1;True;1,0;9,0;-4,9142844163872645;Simplecard;
177_Austria_Diners_20190206_132741;1;True;5,0;5,0;-1,553887046383081;Moneycard;
114_Germany_Master_20190107_085600;3;False;1,5;-1,5;-7,14312787585028;Simplecard;Simplecard
134_Germany_Diners_20190204_043030;1;False;0,5;-0,5;-3,2799200848932526;Simplecard;
107_Switzerland_Diners_20190116_120049;1;False;0,5;-0,5;-2,185496949432821;Simplecard;
246_Germany_Master_20190225_043153;1;True;3,0;7,0;-2,7093067442459837;UK_Card;
253_Austria_Visa_20190213_234128;1;True;1,0;9,0;-4,523444582279341;Simplecard;
165_Germany_Visa_20190206_003026;1;True;3,0;7,0;-3,226439274081927;UK_Card;
255_Germany_Master_20190112_081538;2;False;1,0;-1,0;-9,828568832774529;Simplecard;Simplecard
27_Germany_Diners_20190214_195523;1;False;0,5;-0,5;-3,13650736443628;Simplecard;
87_Germany_Master_20190206_081758;1;True;1,0;9,0;-2,588266985535493;Simplecard;
198_Austria_Diners_20190111_040858;1;False;0,5;-0,5;-3,2100356918296677;Simplecard;
306_Germany_Master_20190128_212813;1;True;3,0;7,0;-2,7093067442459837;UK_Card;
179_Austria_Master_20190208_132833;1;True;5,0;5,0;-0,9935818254995459;Moneycard;
109_Switzerland_Visa_20190224_000358;1;True;3,0;7,0;-2,6811934373879645;UK_Card;
367_Germany_Master_20190209_221310;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
346_Switzerland_Master_20190208_051958;4;False;2,0;-2,0;-19,657137665549058;Simplecard;Simplecard
204_Switzerland_Visa_20190214_190236;1;False;0,5;-0,5;-4,523444582279341;Simplecard;
308_Switzerland_Master_20190217_113823;1;True;1,0;9,0;-4,9142844163872645;Simplecard;
135_Austria_Diners_20190204_182211;1;True;5,0;5,0;-1,467220379716414;Moneycard;
334_Germany_Master_20190210_193141;2;True;1,5;8,5;-9,828568832774529;Simplecard;Simplecard
356_Germany_Visa_20190109_183437;2;False;1,0;-1,0;-8,05161369063962;Simplecard;Simplecard
230_Germany_Master_20190223_054626;2;False;5,5;-5,5;-9,822166338386833;Goldcard;Simplecard
113_Switzerland_Diners_20190129_002733;1;False;0,5;-0,5;-3,2100356918296677;Simplecard;
418_Germany_Diners_20190117_154633;1;True;1,0;9,0;-3,13650736443628;Simplecard;
202_Switzerland_Diners_20190210_174623;1;True;1,0;9,0;-2,855486813001555;Simplecard;
198_Germany_Visa_20190209_012313;1;False;1,0;-1,0;-3,454446733814513;UK_Card;
227_Switzerland_Master_20190117_120840;2;False;1,0;-1,0;-9,828568832774529;Simplecard;Simplecard
308_Germany_Master_20190114_113708;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
189_Germany_Master_20190223_141720;1;False;2,0;-2,0;-0,9935818254995459;Moneycard;
145_Germany_Master_20190214_180805;1;False;2,0;-2,0;-0,9069151588328799;Moneycard;
129_Germany_Visa_20190211_071049;1;False;0,5;-0,5;-1,6347121680455015;Simplecard;
146_Austria_Visa_20190110_205929;1;False;0,5;-0,5;-1,2632835966169305;Simplecard;
50_Germany_Diners_20190123_095401;3;False;1,5;-1,5;-6,556490848298463;Simplecard;Simplecard
290_Germany_Master_20190115_115934;5;False;2,5;-2,5;-24,571422081936323;Simplecard;Simplecard
150_Germany_Master_20190118_230926;3;False;3,0;-3,0;-9,52317704902098;UK_Card;UK_Card
49_Austria_Master_20190203_043654;3;True;5,0;5,0;-8,053988689317478;UK_Card;UK_Card
122_Germany_Master_20190130_140334;1;True;5,0;5,0;-0,9935818254995459;Moneycard;
202_Germany_Diners_20190205_153128;1;False;2,0;-2,0;-3,144756079430817;Moneycard;
169_Austria_Master_20190225_170440;2;True;7,0;3,0;-2,683163196094709;Moneycard;Moneycard
203_Germany_Master_20190213_134741;4;False;8,0;-8,0;-19,63474545296769;Moneycard;Moneycard
281_Germany_Diners_20190105_153225;1;False;0,5;-0,5;-3,2063917574998646;Simplecard;
100_Austria_Visa_20190108_230033;1;False;1,0;-1,0;-3,069572540332368;UK_Card;
67_Austria_Master_20190203_170607;1;True;5,0;5,0;-0,9069151588328799;Moneycard;
284_Austria_Visa_20190206_174845;1;False;0,5;-0,5;-4,523444582279341;Simplecard;
88_Austria_Master_20190121_144946;1;True;5,0;5,0;-0,9935818254995459;Moneycard;
179_Switzerland_Master_20190106_133501;1;True;5,0;5,0;-0,9935818254995459;Moneycard;
179_Germany_Diners_20190112_175921;1;False;2,0;-2,0;-1,467220379716414;Moneycard;
224_Switzerland_Master_20190210_124608;2;False;1,0;-1,0;-9,828568832774529;Simplecard;Simplecard
198_Germany_Diners_20190115_052108;1;False;0,5;-0,5;-3,2100356918296677;Simplecard;
193_Austria_Visa_20190228_063323;2;False;2,0;-2,0;-6,379710194764355;UK_Card;UK_Card
313_Germany_Master_20190216_195904;1;False;1,0;-1,0;-2,7093067442459837;UK_Card;
358_Germany_Visa_20190116_103241;3;False;1,5;-1,5;-11,579782798999899;Simplecard;Simplecard
216_Germany_Master_20190114_014927;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
33_Germany_Visa_20190218_092424;1;True;1,0;9,0;-1,148016077251051;Simplecard;
225_Austria_Master_20190102_164318;2;True;4,0;6,0;-6,3982452633371985;UK_Card;UK_Card
295_Austria_Master_20190114_154341;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
198_Germany_Master_20190130_081108;3;True;5,0;5,0;-9,434135730956935;UK_Card;UK_Card
119_Germany_Master_20190227_011106;1;False;1,0;-1,0;-3,325498850711403;UK_Card;
341_Austria_Visa_20190122_200202;1;False;0,5;-0,5;-4,523444582279341;Simplecard;
197_Germany_Visa_20190121_025353;1;False;1,0;-1,0;-3,3771786669123367;UK_Card;
33_Germany_Master_20190124_004233;2;False;1,0;-1,0;-6,463142922080083;Simplecard;Simplecard
262_Germany_Diners_20190116_135650;3;False;1,5;-1,5;-9,40952209330884;Simplecard;Simplecard
125_Switzerland_Visa_20190210_112856;1;False;1,0;-1,0;-2,6811934373879645;UK_Card;
269_Germany_Master_20190128_111621;1;False;2,0;-2,0;-4,97187713038381;Moneycard;
193_Germany_Visa_20190222_113754;1;True;3,0;7,0;-3,3333045749026526;UK_Card;
258_Germany_Master_20190109_040358;4;False;2,0;-2,0;-19,657137665549058;Simplecard;Simplecard
249_Germany_Diners_20190124_181840;1;False;0,5;-0,5;-3,13650736443628;Simplecard;
202_Germany_Master_20190123_175347;1;True;5,0;5,0;-2,4766120916962153;Moneycard;
148_Austria_Master_20190109_151052;1;False;2,0;-2,0;-0,9935818254995459;Moneycard;
101_Switzerland_Master_20190219_055307;4;False;4,0;-4,0;-12,79998643189542;UK_Card;UK_Card
38_Germany_Diners_20190130_033006;2;False;1,0;-1,0;-6,4200713836593355;Simplecard;Simplecard
229_Switzerland_Master_20190113_214115;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
297_Austria_Master_20190118_092555;1;True;3,0;7,0;-2,7093067442459837;UK_Card;
240_Germany_Master_20190103_020754;1;True;5,0;5,0;-4,97187713038381;Moneycard;
250_Germany_Master_20190202_190104;1;False;1,0;-1,0;-3,090075654889751;UK_Card;
171_Germany_Master_20190118_193604;2;True;4,0;6,0;-6,41002107570181;UK_Card;UK_Card
158_Austria_Master_20190104_141345;1;True;5,0;5,0;-0,9935818254995459;Moneycard;
213_Germany_Visa_20190110_194007;1;False;0,5;-0,5;-4,523444582279341;Simplecard;
200_Germany_Diners_20190226_212303;1;False;0,5;-0,5;-3,13650736443628;Simplecard;
53_Switzerland_Master_20190204_083020;1;False;0,5;-0,5;-3,4151052149462204;Simplecard;
254_Switzerland_Visa_20190227_120042;1;False;0,5;-0,5;-4,523444582279341;Simplecard;
172_Switzerland_Visa_20190212_183344;1;False;1,0;-1,0;-3,5873621438882424;UK_Card;
178_Switzerland_Master_20190108_123814;1;False;1,0;-1,0;-3,5873621438882424;UK_Card;
131_Germany_Master_20190112_130759;1;True;5,0;5,0;-0,9935818254995459;Moneycard;
201_Austria_Diners_20190202_033725;1;True;1,0;9,0;-3,2799200848932526;Simplecard;
112_Germany_Master_20190122_002923;1;False;1,0;-1,0;-3,369372942721088;UK_Card;
172_Germany_Master_20190221_153526;2;True;7,0;3,0;-2,856496529428042;Moneycard;Moneycard
190_Germany_Visa_20190207_185059;1;True;3,0;7,0;-3,3771786669123367;UK_Card;
190_Germany_Diners_20190227_171612;1;True;5,0;5,0;-1,467220379716414;Moneycard;
155_Switzerland_Master_20190120_041810;1;False;1,0;-1,0;-2,917446171044295;UK_Card;
140_Germany_Diners_20190213_152230;1;False;2,0;-2,0;-1,553887046383081;Moneycard;
241_Switzerland_Master_20190119_213714;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
87_Germany_Diners_20190202_061547;1;True;1,0;9,0;-3,2799200848932526;Simplecard;
260_Germany_Visa_20190216_053705;1;False;0,5;-0,5;-4,523444582279341;Simplecard;
264_Germany_Master_20190118_213600;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
263_Switzerland_Master_20190209_023557;1;False;1,0;-1,0;-2,7093067442459837;UK_Card;
388_Germany_Diners_20190123_111036;1;False;0,5;-0,5;-2,185496949432821;Simplecard;
178_Germany_Visa_20190211_230448;1;False;1,0;-1,0;-3,46621998497638;UK_Card;
266_Switzerland_Diners_20190214_192739;1;False;0,5;-0,5;-3,13650736443628;Simplecard;
377_Switzerland_Master_20190218_224142;1;True;1,0;9,0;-4,9142844163872645;Simplecard;
113_Germany_Master_20190115_081709;1;False;1,0;-1,0;-3,46621998497638;UK_Card;
139_Germany_Master_20190209_201740;1;True;3,0;7,0;-3,3220506415929574;UK_Card;
268_Germany_Master_20190214_224746;1;True;3,0;7,0;-2,7093067442459837;UK_Card;
227_Germany_Master_20190108_075130;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
142_Germany_Diners_20190228_050211;4;False;3,5;-3,5;-12,361282425911092;Simplecard;UK_Card
240_Germany_Diners_20190219_133634;1;False;0,5;-0,5;-3,021753573763728;Simplecard;
114_Germany_Master_20190103_060642;1;True;3,0;7,0;-3,4223458929666952;UK_Card;
326_Germany_Diners_20190108_023602;1;False;0,5;-0,5;-3,2100356918296677;Simplecard;
250_Germany_Diners_20190106_220542;1;False;0,5;-0,5;-3,13650736443628;Simplecard;
228_Germany_Master_20190130_130327;1;False;2,0;-2,0;-4,908686363241922;Moneycard;
311_Germany_Visa_20190201_025550;1;False;1,0;-1,0;-3,093523864008197;UK_Card;
164_Austria_Master_20190210_015806;1;True;3,0;7,0;-2,917446171044295;UK_Card;
299_Germany_Master_20190125_015033;1;True;10,0;0,0;-4,907881921999567;Goldcard;
333_Switzerland_Visa_20190222_145602;1;True;1,0;9,0;-4,523444582279341;Simplecard;
368_Austria_Visa_20190208_115012;2;False;1,0;-1,0;-8,05161369063962;Simplecard;Simplecard
184_Germany_Diners_20190117_215745;2;False;1,5;-1,5;-6,186922942463422;Simplecard;UK_Card
155_Germany_Diners_20190224_192038;4;True;6,0;4,0;-12,241109308301967;UK_Card;UK_Card
262_Germany_Master_20190217_035236;3;False;1,5;-1,5;-14,742853249161794;Simplecard;Simplecard
216_Switzerland_Master_20190123_221535;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
39_Germany_Master_20190203_171407;1;True;5,0;5,0;-0,9069151588328799;Moneycard;
305_Germany_Diners_20190112_120858;1;False;0,5;-0,5;-2,185496949432821;Simplecard;
231_Germany_Diners_20190124_060404;1;False;0,5;-0,5;-3,2100356918296677;Simplecard;
80_Germany_Diners_20190218_050648;1;False;1,0;-1,0;-3,0735824984978075;UK_Card;
242_Germany_Master_20190128_030949;1;True;3,0;7,0;-2,7093067442459837;UK_Card;
123_Germany_Visa_20190226_151547;3;False;3,0;-3,0;-9,745133777158754;UK_Card;UK_Card
151_Germany_Visa_20190214_143039;1;False;1,0;-1,0;-3,4223458929666952;UK_Card;
284_Germany_Visa_20190222_224801;3;False;1,5;-1,5;-11,579782798999899;Simplecard;Simplecard
106_Germany_Master_20190126_081637;2;True;8,0;2,0;-5,71447450354168;Goldcard;UK_Card
203_Austria_Visa_20190201_002520;2;True;4,0;6,0;-6,187047728016394;UK_Card;UK_Card
217_Austria_Master_20190106_100233;1;True;1,0;9,0;-2,3810426252834267;Simplecard;
168_Germany_Master_20190221_170933;1;True;5,0;5,0;-0,9069151588328799;Moneycard;
174_Germany_Master_20190225_212524;2;True;4,0;6,0;-6,310805837173795;UK_Card;UK_Card
116_Switzerland_Visa_20190204_142308;1;False;1,0;-1,0;-3,5873621438882424;UK_Card;
66_Switzerland_Diners_20190225_141314;1;True;5,0;5,0;-1,553887046383081;Moneycard;
199_Austria_Diners_20190114_170148;4;False;8,0;-8,0;-8,476880154152504;Moneycard;Moneycard
202_Switzerland_Master_20190103_223755;1;False;0,5;-0,5;-5,003848822487663;Simplecard;
188_Switzerland_Master_20190202_170018;1;True;5,0;5,0;-0,9069151588328799;Moneycard;
287_Germany_Master_20190215_034901;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
265_Austria_Master_20190109_221343;3;False;2,0;-2,0;-12,537875577020513;UK_Card;Simplecard
230_Germany_Master_20190213_170914;1;True;3,0;7,0;-2,7093067442459837;UK_Card;
154_Germany_Master_20190103_145623;1;True;5,0;5,0;-0,9935818254995459;Moneycard;
267_Germany_Master_20190211_161922;2;False;1,0;-1,0;-9,828568832774529;Simplecard;Simplecard
203_Switzerland_Diners_20190208_003844;2;False;1,0;-1,0;-5,71097362600311;Simplecard;Simplecard
160_Germany_Diners_20190105_044422;1;False;0,5;-0,5;-3,2799200848932526;Simplecard;
283_Germany_Master_20190205_224955;3;True;8,0;2,0;-12,58634536246756;UK_Card;Moneycard
277_Germany_Master_20190212_232554;2;False;1,0;-1,0;-9,828568832774529;Simplecard;Simplecard
280_Germany_Master_20190109_105227;2;False;1,0;-1,0;-9,828568832774529;Simplecard;Simplecard
283_Germany_Visa_20190114_223557;1;True;1,0;9,0;-1,148016077251051;Simplecard;
163_Germany_Master_20190219_133146;1;False;2,0;-2,0;-0,9935818254995459;Moneycard;
182_Austria_Master_20190203_012250;2;False;2,0;-2,0;-6,332702621852983;UK_Card;UK_Card
312_Germany_Diners_20190107_042829;1;True;1,0;9,0;-3,021753573763728;Simplecard;
200_Germany_Diners_20190211_094153;1;False;0,5;-0,5;-2,185496949432821;Simplecard;
184_Austria_Master_20190126_173204;1;False;2,0;-2,0;-0,9069151588328799;Moneycard;
302_Germany_Master_20190115_100222;1;True;3,0;7,0;-2,7093067442459837;UK_Card;
298_Germany_Visa_20190216_010243;1;False;0,5;-0,5;-4,523444582279341;Simplecard;
229_Switzerland_Master_20190224_200533;1;True;1,0;9,0;-4,9142844163872645;Simplecard;
86_Germany_Visa_20190212_023509;1;False;0,5;-0,5;-1,148016077251051;Simplecard;
114_Switzerland_Visa_20190222_180058;3;False;3,0;-3,0;-9,518838417348787;UK_Card;UK_Card
307_Germany_Master_20190127_064229;1;True;10,0;0,0;-4,907881921999567;Goldcard;
99_Austria_Master_20190220_021619;1;True;3,0;7,0;-3,418335934801256;UK_Card;
352_Germany_Master_20190117_084817;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
294_Switzerland_Master_20190102_142426;1;False;1,0;-1,0;-3,236457532647359;UK_Card;
82_Germany_Visa_20190211_130817;2;False;2,0;-2,0;-6,213039394588995;UK_Card;UK_Card
385_Austria_Master_20190110_095519;2;False;1,0;-1,0;-9,828568832774529;Simplecard;Simplecard
153_Austria_Diners_20190120_215738;1;False;1,0;-1,0;-2,917446171044295;UK_Card;
187_Germany_Diners_20190123_015318;2;True;1,5;8,5;-5,71097362600311;Simplecard;Simplecard
28_Germany_Master_20190225_111033;3;False;1,5;-1,5;-9,50576009786656;Simplecard;Simplecard
203_Germany_Visa_20190129_102930;4;True;2,5;7,5;-15,107951907360178;Simplecard;Simplecard
354_Germany_Master_20190130_000933;4;True;14,0;-4,0;-19,823513313150997;Goldcard;Moneycard
126_Austria_Visa_20190228_082843;1;True;1,0;9,0;-0,7765875058224792;Simplecard;
173_Germany_Master_20190204_130359;1;True;5,0;5,0;-0,9935818254995459;Moneycard;
262_Switzerland_Master_20190122_191338;1;True;3,0;7,0;-2,7093067442459837;UK_Card;
80_Germany_Master_20190206_163019;2;False;4,0;-4,0;-2,856496529428042;Moneycard;Moneycard
196_Germany_Diners_20190205_100812;1;False;0,5;-0,5;-2,2553813424964044;Simplecard;
179_Austria_Master_20190226_125544;1;True;10,0;0,0;-3,0942453304495476;Goldcard;
54_Switzerland_Visa_20190120_094033;1;True;3,0;7,0;-2,6811934373879645;UK_Card;
14_Switzerland_Visa_20190115_142335;2;False;1,0;-1,0;-2,5533263352476094;Simplecard;Simplecard
269_Germany_Master_20190116_055543;1;False;1,0;-1,0;-2,7093067442459837;UK_Card;
212_Germany_Master_20190205_003927;2;False;1,5;-1,5;-7,713155566733647;UK_Card;Simplecard
213_Germany_Visa_20190206_130122;1;False;0,5;-0,5;-4,523444582279341;Simplecard;
120_Germany_Visa_20190208_224528;1;False;1,0;-1,0;-3,4223458929666952;UK_Card;
341_Germany_Diners_20190102_213459;1;False;0,5;-0,5;-3,2063917574998646;Simplecard;
42_Austria_Master_20190123_073304;3;False;2,5;-2,5;-9,190049768800232;Simplecard;UK_Card
198_Germany_Master_20190207_115256;1;False;0,5;-0,5;-2,3810426252834267;Simplecard;
251_Switzerland_Master_20190125_135439;3;True;2,0;8,0;-14,742853249161794;Simplecard;Simplecard
176_Switzerland_Diners_20190227_002136;2;False;1,5;-1,5;-6,403384938495971;Simplecard;UK_Card
258_Austria_Diners_20190101_022008;1;False;0,5;-0,5;-3,2799200848932526;Simplecard;
270_Germany_Master_20190209_044259;1;True;3,0;7,0;-2,7093067442459837;UK_Card;
402_Germany_Visa_20190206_082531;1;False;0,5;-0,5;-4,523444582279341;Simplecard;
278_Germany_Master_20190204_110502;2;True;6,0;4,0;-7,647826053356772;UK_Card;Moneycard
367_Switzerland_Visa_20190208_091131;2;True;1,5;8,5;-8,05161369063962;Simplecard;Simplecard
78_Germany_Diners_20190216_185416;1;True;5,0;5,0;-1,467220379716414;Moneycard;
232_Germany_Diners_20190225_053521;1;False;0,5;-0,5;-3,2100356918296677;Simplecard;
262_Switzerland_Diners_20190201_052457;2;False;1,0;-1,0;-6,559840169786505;Simplecard;Simplecard
422_Germany_Master_20190226_052627;1;False;5,0;-5,0;-4,907881921999567;Goldcard;
372_Austria_Master_20190221_074358;1;True;3,0;7,0;-2,7093067442459837;UK_Card;
224_Switzerland_Visa_20190209_031603;2;True;1,5;8,5;-8,05161369063962;Simplecard;Simplecard
249_Austria_Master_20190225_120639;5;False;2,5;-2,5;-24,571422081936323;Simplecard;Simplecard
210_Switzerland_Visa_20190105_075007;1;False;0,5;-0,5;-4,523444582279341;Simplecard;
234_Germany_Master_20190219_052137;2;False;1,5;-1,5;-7,623591160633248;UK_Card;Simplecard
392_Switzerland_Master_20190119_185452;1;True;3,0;7,0;-2,7093067442459837;UK_Card;
146_Germany_Master_20190209_082406;1;False;1,0;-1,0;-3,3220506415929574;UK_Card;
187_Germany_Diners_20190130_155339;1;False;2,0;-2,0;-1,553887046383081;Moneycard;
345_Germany_Diners_20190124_234334;2;False;1,0;-1,0;-6,043507147527456;Simplecard;Simplecard
148_Switzerland_Visa_20190113_205343;1;True;3,0;7,0;-2,917446171044295;UK_Card;
259_Switzerland_Master_20190208_032957;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
55_Germany_Diners_20190125_025918;4;False;3,5;-3,5;-12,350937798555755;Simplecard;UK_Card
158_Germany_Diners_20190217_045146;1;False;1,0;-1,0;-2,917446171044295;UK_Card;
220_Germany_Master_20190214_131942;1;False;2,0;-2,0;-4,908686363241922;Moneycard;
121_Germany_Master_20190223_134706;2;False;4,0;-4,0;-2,856496529428042;Moneycard;Moneycard
201_Germany_Diners_20190219_231858;2;True;1,5;8,5;-6,27301472887256;Simplecard;Simplecard
114_Switzerland_Master_20190127_063046;3;True;5,0;5,0;-8,28355654547699;UK_Card;UK_Card
231_Austria_Master_20190207_120222;4;False;2,0;-2,0;-9,524170501133707;Simplecard;Simplecard
321_Austria_Master_20190104_202504;1;False;2,0;-2,0;-4,97187713038381;Moneycard;
150_Germany_Diners_20190218_041202;1;True;1,0;9,0;-2,855486813001555;Simplecard;
326_Switzerland_Master_20190222_144932;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
70_Austria_Diners_20190103_134531;1;False;2,0;-2,0;-1,553887046383081;Moneycard;
213_Austria_Diners_20190122_194620;1;True;1,0;9,0;-3,13650736443628;Simplecard;
267_Austria_Diners_20190120_110559;1;True;1,0;9,0;-2,185496949432821;Simplecard;
149_Germany_Master_20190110_204529;5;True;7,0;3,0;-15,624008205075263;UK_Card;UK_Card
220_Germany_Diners_20190227_102401;1;False;0,5;-0,5;-2,185496949432821;Simplecard;
176_Germany_Diners_20190227_084802;1;True;1,0;9,0;-2,185496949432821;Simplecard;
160_Germany_Diners_20190126_053905;1;False;0,5;-0,5;-3,2100356918296677;Simplecard;
185_Switzerland_Master_20190111_205234;3;True;5,0;5,0;-9,644319207932842;UK_Card;UK_Card
256_Switzerland_Diners_20190123_023128;2;False;1,0;-1,0;-6,4200713836593355;Simplecard;Simplecard
249_Germany_Master_20190217_062537;2;False;1,0;-1,0;-9,828568832774529;Simplecard;Simplecard
281_Germany_Master_20190103_023201;1;False;2,0;-2,0;-4,97187713038381;Moneycard;
265_Switzerland_Master_20190214_094533;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
176_Germany_Visa_20190131_203911;1;True;3,0;7,0;-3,4223458929666952;UK_Card;
162_Germany_Diners_20190219_095723;1;False;0,5;-0,5;-2,185496949432821;Simplecard;
182_Switzerland_Diners_20190116_072835;1;False;0,5;-0,5;-2,855486813001555;Simplecard;
256_Germany_Visa_20190228_221135;2;True;1,5;8,5;-1,8104691923904648;Simplecard;Simplecard
173_Germany_Visa_20190121_151627;1;False;1,0;-1,0;-3,46621998497638;UK_Card;
213_Germany_Visa_20190223_061931;1;False;0,5;-0,5;-4,523444582279341;Simplecard;
216_Germany_Visa_20190203_093443;1;True;1,0;9,0;-4,523444582279341;Simplecard;
87_Switzerland_Master_20190210_031827;1;False;1,0;-1,0;-2,6811934373879645;UK_Card;
158_Switzerland_Master_20190201_235547;4;False;4,0;-4,0;-12,72826425061433;UK_Card;UK_Card
150_Switzerland_Visa_20190128_143013;1;False;1,0;-1,0;-3,5873621438882424;UK_Card;
231_Austria_Master_20190124_200535;1;False;0,5;-0,5;-4,9142844163872645;Simplecard;
